skill_id,skills,count,title
1,Machine Learning,3,Data Scientist at Microsoft
2,Python,2,Data Scientist at Microsoft
3,R,2,Data Scientist at Microsoft
4,Data Mining,7,Data Scientist at Microsoft
5,Data Visualization,8,Data Scientist at Microsoft
6,Enterprise Resource Planning (ERP),10,Data Scientist at Microsoft
7,Functional Testing,7,Data Scientist at Microsoft
8,Project Management,4,Data Scientist at Microsoft
9,IT Service Management,4,Data Scientist at Microsoft
10,Trend Analysis,7,Data Scientist at Microsoft
11,Commodity Trading,10,Data Scientist at Microsoft
12,Credit Risk,9,Data Scientist at Microsoft
13,Design of Experiments,5,Data Scientist at Microsoft
14,Business Intelligence,0,Data Scientist at Microsoft
15,Analytics,0,Data Scientist at Microsoft
16,Data Analysis,1,Data Scientist at Microsoft
17,SQL,2,Data Scientist at Microsoft
18,Tableau,8,Data Scientist at Microsoft
19,SPSS,5,Data Scientist at Microsoft
20,Minitab,6,Data Scientist at Microsoft
21,Java,2,Data Scientist at Microsoft
22,C++,2,Data Scientist at Microsoft
23,SAP Sales & Distribution,10,Data Scientist at Microsoft
24,Microsoft PowerPoint,10,Data Scientist at Microsoft
25,C,7,Data Scientist at Microsoft
26,HTML,2,Data Scientist at Microsoft
27,Microsoft Office,7,Data Scientist at Microsoft
28,Microsoft Azure,6,Data Scientist at Microsoft
29,Microsoft Excel,4,Data Scientist at Microsoft
30,Databases,4,Data Scientist at Microsoft
31,Microsoft Word,1,Data Scientist at Microsoft
32,Matlab,0,Data Scientist at Microsoft
33,Data Cleaning,7,Data Scientist at Microsoft
34,Statistical Inference,4,Data Scientist at Microsoft
35,Logistic Regression,5,Data Scientist at Microsoft
36,Linear Programming,4,Data Scientist at Microsoft
37,Hypothesis Testing,5,Data Scientist at Microsoft
38,ANOVA,6,Data Scientist at Microsoft
39,Database Management System (DBMS),10,Data Scientist at Microsoft
40,SNOW,10,Data Scientist at Microsoft
41,Root Cause Problem Solving,6,Data Scientist at Microsoft
42,SAP Logistics Execution,6,Data Scientist at Microsoft
43,Data Analytics,6,Data Scientist at Microsoft
44,Business Continuity Management,4,Data Scientist at Microsoft
45,SAP TSW,11,Data Scientist at Microsoft
46,Product Risk,9,Data Scientist at Microsoft
47,Data Warehousing and Management,8,Data Scientist at Microsoft
48,Legacy System Migration Workbench,1,Data Scientist at Microsoft
49,StatTools,5,Data Scientist at Microsoft
50,EDA,5,Data Scientist at Microsoft
51,Machine Learning,19,Data Scientist at Uber
52,Deep Learning,15,Data Scientist at Uber
53,Statistics,17,Data Scientist at Uber
54,Data Analysis,16,Data Scientist at Uber
55,Mathematics,17,Data Scientist at Uber
56,Physics,13,Data Scientist at Uber
57,Project Management,12,Data Scientist at Uber
58,Engineering,11,Data Scientist at Uber
59,Python,20,Data Scientist at Uber
60,R,18,Data Scientist at Uber
61,SQL,14,Data Scientist at Uber
62,LaTeX,14,Data Scientist at Uber
63,C++,2,Data Scientist at Uber
64,Git,5,Data Scientist at Uber
65,Machine Learning,0,Data Scientist at Amazon (Audible group)
66,Natural Language Processing (NLP),0,Data Scientist at Amazon (Audible group)
67,Deep Learning,0,Data Scientist at Amazon (Audible group)
68,Statistics,0,Data Scientist at Amazon (Audible group)
69,Python (Programming Language),0,Data Scientist at Amazon (Audible group)
70,Microsoft Office,0,Data Scientist at Amazon (Audible group)
71,TensorFlow,0,Data Scientist at Amazon (Audible group)
72,PyTorch,0,Data Scientist at Amazon (Audible group)
73,SQL,0,Data Scientist at Amazon (Audible group)
74,Data Science,0,Data Scientist at Amazon (Audible group)
75,Client Liaising,0,Data Scientist at Amazon (Audible group)
76,Scikit-Learn,0,Data Scientist at Amazon (Audible group)
77,R,13,Data Scientist at Amazon
78,Python,21,Data Scientist at Amazon
79,Machine Learning,10,Data Scientist at Amazon
80,Data Analysis,11,Data Scientist at Amazon
81,Data Mining,11,Data Scientist at Amazon
82,Optimization,5,Data Scientist at Amazon
83,Marketing,1,Data Scientist at Amazon
84,Programming,5,Data Scientist at Amazon
85,E-commerce,4,Data Scientist at Amazon
86,E-commerce SEO,1,Data Scientist at Amazon
87,Retail,1,Data Scientist at Amazon
88,HTML5,1,Data Scientist at Amazon
89,HTML,4,Data Scientist at Amazon
90,Java,1,Data Scientist at Amazon
91,JavaScript,4,Data Scientist at Amazon
92,SQL,10,Data Scientist at Amazon
93,C,8,Data Scientist at Amazon
94,C++,6,Data Scientist at Amazon
95,Hadoop,1,Data Scientist at Amazon
96,PySpark,1,Data Scientist at Amazon
97,Microsoft Power BI,0,Data Scientist at Amazon
98,HDFS,0,Data Scientist at Amazon
99,RShiny,1,Data Scientist at Amazon
100,Data Cleaning,7,Data Scientist at Amazon
101,Exploratory Data Analysis,7,Data Scientist at Amazon
102,Linear Regression,8,Data Scientist at Amazon
103,Logistic Regression,8,Data Scientist at Amazon
104,Cluster Analysis,6,Data Scientist at Amazon
105,Text Analytics,6,Data Scientist at Amazon
106,Data Extraction,5,Data Scientist at Amazon
107,Customer Segmentation Strategy,0,Data Scientist at Amazon
108,Target Marketing,0,Data Scientist at Amazon
109,Positioning,0,Data Scientist at Amazon
110,Marketing Mix,0,Data Scientist at Amazon
111,Hive,1,Data Scientist at Amazon
112,Principal Component Analysis,1,Data Scientist at Amazon
113,Market Basket Analysis,1,Data Scientist at Amazon
114,Retail Sales Analysis,0,Data Scientist at Amazon
115,Recommender Systems,0,Data Scientist at Amazon
116,Pig,0,Data Scientist at Amazon
117,Impala,0,Data Scientist at Amazon
118,YARN,0,Data Scientist at Amazon
119,C,4,Data Scientist and Engineer!
120,Python,7,Data Scientist and Engineer!
121,Matlab,4,Data Scientist and Engineer!
122,Data Mining,6,Data Scientist and Engineer!
123,Social Media,8,Data Scientist and Engineer!
124,Social Media Marketing,7,Data Scientist and Engineer!
125,Marketing,7,Data Scientist and Engineer!
126,Editing,5,Data Scientist and Engineer!
127,Business Development,1,Data Scientist and Engineer!
128,Public Relations,4,Data Scientist and Engineer!
129,Strategy,1,Data Scientist and Engineer!
130,Statistics,1,Data Scientist and Engineer!
131,SQL,6,Data Scientist and Engineer!
132,R,4,Data Scientist and Engineer!
133,HTML,1,Data Scientist and Engineer!
134,CSS,0,Data Scientist and Engineer!
135,JavaScript,0,Data Scientist and Engineer!
136,AngularJS,0,Data Scientist and Engineer!
137,LaTeX,0,Data Scientist and Engineer!
138,C++,0,Data Scientist and Engineer!
139,D3.js,0,Data Scientist and Engineer!
140,Parallel Computing,4,Data Scientist and Engineer!
141,Version Control,1,Data Scientist and Engineer!
142,Processing,0,Data Scientist and Engineer!
143,Optimization,16,Data Science Manager at Uber
144,Statistical Modeling,14,Data Science Manager at Uber
145,R,23,Data Science Manager at Uber
146,Quantitative Research,23,Data Science Manager at Uber
147,Marketing Strategy,3,Data Science Manager at Uber
148,Supply Chain Management,12,Data Science Manager at Uber
149,Machine Learning,7,Data Science Manager at Uber
150,Revenue Management,9,Data Science Manager at Uber
151,Consumer Behaviour,2,Data Science Manager at Uber
152,Data Analysis,22,Data Science Manager at Uber
153,Research,3,Data Science Manager at Uber
154,C/C++,5,Data Science Manager at Uber
155,Python,5,Data Science Manager at Uber
156,Matlab,5,Data Science Manager at Uber
157,SQL,4,Data Science Manager at Uber
158,C++,4,Data Science Manager at Uber
159,Teaching,7,Data Science Manager at Uber
160,Molecular Biology,8,Data Scientist at Cond Nast
161,Fluorescence Microscopy,5,Data Scientist at Cond Nast
162,Statistics,6,Data Scientist at Cond Nast
163,Microscopy,4,Data Scientist at Cond Nast
