Keyword,LinkedIn,Indeed,SimplyHired,Monster
machine learning,5701,3439,2561,2340
analysis,5168,3500,2668,3306
statistics,4893,2992,2308,2399
computer science,4517,2739,2093,1900
communication,3404,2344,1791,2053
mathematics,2605,1961,1497,1815
visualization,1879,1413,1153,1207
AI composite,1568,1125,811,687
deep learning,1310,979,675,606
NLP composite,1212,910,660,582
software development,732,627,481,784
neural networks,671,485,421,305
data engineering,514,339,276,200
project management,476,397,330,348
software engineering,413,295,250,512
AI,760,531,411,344
artificial intelligence,808,594,400,343
NLP,-246,-192,-135,-144
natural language processing,-332,-197,-70,5
