"","Headline","Skills","Linkedin"
"1","Data Scientist at Square","Python",11
"2","Data Scientist at Square","R",9
"3","Data Scientist at Square","C++",7
"4","Data Scientist at Square","Data Structures",5
"5","Data Scientist at Square","Statistics",2
"6","Data Scientist at Square","Machine Learning",2
"7","Data Scientist at Square","Research",1
"8","Data Scientist at Square","Optimization",1
"9","Data Scientist at Square","Data Analysis",1
"10","Data Scientist at Square","Distributed Systems",1
"17","Data Scientist at Square","SQL",2
"18","Data Scientist at Square","python",1
"19","Data Scientist at Square","Amazon Web Services (AWS)",1
"20","Data Scientist at Square","MongoDB",1
"29","Data Scientist at Square","Deep Learning",2
"30","Data Scientist at Square","Recommender Systems",1
"31","Data Scientist at Square","Predictive Modeling",1
"32","Data Scientist at Square","Linear Regression",1
"45","Data Scientist at Microsoft","Machine Learning",11
"46","Data Scientist at Microsoft","Python",10
"47","Data Scientist at Microsoft","R",10
"48","Data Scientist at Microsoft","Data Mining",5
"49","Data Scientist at Microsoft","Data Visualization",6
"50","Data Scientist at Microsoft","Enterprise Resource Planning (ERP)",8
"51","Data Scientist at Microsoft","Functional Testing",5
"52","Data Scientist at Microsoft","Project Management",2
"53","Data Scientist at Microsoft","IT Service Management",2
"54","Data Scientist at Microsoft","Trend Analysis",5
"55","Data Scientist at Microsoft","Commodity Trading",8
"56","Data Scientist at Microsoft","Credit Risk",7
"57","Data Scientist at Microsoft","Design of Experiments",3
"60","Data Scientist at Microsoft","Data Analysis",1
"61","Data Scientist at Microsoft","SQL",10
"62","Data Scientist at Microsoft","Tableau",6
"63","Data Scientist at Microsoft","SPSS",3
"64","Data Scientist at Microsoft","Minitab",4
"65","Data Scientist at Microsoft","Java",10
"66","Data Scientist at Microsoft","C++",10
"67","Data Scientist at Microsoft","SAP Sales & Distribution",8
"68","Data Scientist at Microsoft","Microsoft PowerPoint",8
"69","Data Scientist at Microsoft","C",5
"70","Data Scientist at Microsoft","HTML",10
"71","Data Scientist at Microsoft","Microsoft Office",5
"72","Data Scientist at Microsoft","Microsoft Azure",4
"73","Data Scientist at Microsoft","Microsoft Excel",2
"74","Data Scientist at Microsoft","Databases",2
"75","Data Scientist at Microsoft","Microsoft Word",1
"77","Data Scientist at Microsoft","Data Cleaning",5
"78","Data Scientist at Microsoft","Statistical Inference",2
"79","Data Scientist at Microsoft","Logistic Regression",3
"80","Data Scientist at Microsoft","Linear Programming",2
"81","Data Scientist at Microsoft","Hypothesis Testing",3
"82","Data Scientist at Microsoft","ANOVA",4
